municipio,geocodigo
Euclides da Cunha Paulista,3515350
Fartura,3515400
Fernando Prestes,3515608
Fernandópolis,3515509
Fernão,3515657
Ferraz de Vasconcelos,3515707
Flora Rica,3515806
Floreal,3515905
Flórida Paulista,3516002
Florínia,3516101
Franca,3516200
Francisco Morato,3516309
Franco da Rocha,3516408
Gabriel Monteiro,3516507
Gália,3516606
Garça,3516705
Gastão Vidigal,3516804
Gavião Peixoto,3516853
General Salgado,3516903
Getulina,3517000
Glicério,3517109
Guaiçara,3517208
Guaimbê,3517307
Guaíra,3517406
Guapiaçu,3517505
Guapiara,3517604
Guará,3517703
Guaraçaí,3517802
Guaraci,3517901
Guarani d'Oeste,3518008
Guarantã,3518107
Guararapes,3518206
Guararema,3518305
Guaratinguetá,3518404
Guareí,3518503
Guariba,3518602
Guarujá,3518701
Guarulhos,3518800
Guatapará,3518859
Guzolândia,3518909
Herculândia,3519006
Holambra,3519055
Hortolândia,3519071
Iacanga,3519105
Iacri,3519204
Iaras,3519253
Ibaté,3519303
Ibirá,3519402
Ibirarema,3519501
Ibitinga,3519600
Ibiúna,3519709
Icém,3519808
Iepê,3519907
Igaraçu do Tietê,3520004
Igarapava,3520103
Igaratá,3520202
Iguape,3520301
Ilha Comprida,3520426
Ilha Solteira,3520442
Ilhabela,3520400
Indaiatuba,3520509
Indiana,3520608
Indiaporã,3520707
Inúbia Paulista,3520806
Ipaussu,3520905
Iperó,3521002
Ipeúna,3521101
Ipiguá,3521150
Iporanga,3521200
Ipuã,3521309
Iracemápolis,3521408
Irapuã,3521507
Irapuru,3521606
Itaberá,3521705
Itaí,3521804
Itajobi,3521903
Itaju,3522000
Itanhaém,3522109
Itaóca,3522158
Itapecerica da Serra,3522208
Itapetininga,3522307
Itapeva,3522406
Itapevi,3522505
Itapira,3522604
Itapirapuã Paulista,3522653
Itápolis,3522703
Itaporanga,3522802
Itapuí,3522901
Itapura,3523008
Itaquaquecetuba,3523107
Itararé,3523206
Itariri,3523305
Itatiba,3523404
Itatinga,3523503
Itirapina,3523602
Itirapuã,3523701
Itobi,3523800
Itu,3523909
Itupeva,3524006
Ituverava,3524105
Jaborandi,3524204
Jaboticabal,3524303
Jacareí,3524402
Jaci,3524501
Jacupiranga,3524600
Jaguariúna,3524709
Jales,3524808
Jambeiro,3524907
Jandira,3525003
Jardinópolis,3525102
Jarinu,3525201
Jaú,3525300
Jeriquara,3525409
Joanópolis,3525508
João Ramalho,3525607
José Bonifácio,3525706
Júlio Mesquita,3525805
Jumirim,3525854
Jundiaí,3525904
Junqueirópolis,3526001
Juquiá,3526100
Juquitiba,3526209
Lagoinha,3526308
Laranjal Paulista,3526407
Lavínia,3526506
Lavrinhas,3526605
Leme,3526704
Lençóis Paulista,3526803
Limeira,3526902
Lindóia,3527009
Lins,3527108
Lorena,3527207
Lourdes,3527256
Louveira,3527306
Lucélia,3527405
Lucianópolis,3527504
Luís Antônio,3527603
Luiziânia,3527702
Lupércio,3527801
Lutécia,3527900
Macatuba,3528007
Macaubal,3528106
Macedônia,3528205
Magda,3528304
Mairinque,3528403
Mairiporã,3528502
Manduri,3528601
Marabá Paulista,3528700
Maracaí,3528809
Marapoama,3528858
Mariápolis,3528908
Marília,3529005
Marinópolis,3529104
Martinópolis,3529203
Matão,3529302
Mauá,3529401
Mendonça,3529500
Meridiano,3529609
Mesópolis,3529658
Miguelópolis,3529708
Mineiros do Tietê,3529807
Mira Estrela,3530003
Miracatu,3529906
Mirandópolis,3530102
Mirante do Paranapanema,3530201
Mirassol,3530300
Mirassolândia,3530409
Mococa,3530508
Mogi das Cruzes,3530607
Mogi Guaçu,3530706
Mogi Mirim,3530805
Mombuca,3530904
Monções,3531001
Mongaguá,3531100
Monte Alegre do Sul,3531209
Monte Alto,3531308
Monte Aprazível,3531407
Monte Azul Paulista,3531506
Monte Castelo,3531605
Monte Mor,3531803
Monteiro Lobato,3531704
Morro Agudo,3531902
Morungaba,3532009
Motuca,3532058
Murutinga do Sul,3532108
Nantes,3532157
Narandiba,3532207
Natividade da Serra,3532306
Nazaré Paulista,3532405
Neves Paulista,3532504
Nhandeara,3532603
Nipoã,3532702
Nova Aliança,3532801
Nova Campina,3532827
Nova Canaã Paulista,3532843
Nova Castilho,3532868
Nova Europa,3532900
Nova Granada,3533007
Nova Guataporanga,3533106
Nova Independência,3533205
Nova Luzitânia,3533304
Nova Odessa,3533403
Novais,3533254
Novo Horizonte,3533502
Nuporanga,3533601
Ocauçu,3533700
Óleo,3533809
Olímpia,3533908
Onda Verde,3534005
Oriente,3534104
Orindiúva,3534203
Orlândia,3534302
Osasco,3534401
Oscar Bressane,3534500
Osvaldo Cruz,3534609
Ourinhos,3534708
Ouro Verde,3534807
Ouroeste,3534757
Pacaembu,3534906
Palestina,3535002
Palmares Paulista,3535101
Palmeira d'Oeste,3535200
Palmital,3535309
Panorama,3535408
Paraguaçu Paulista,3535507
Paraibuna,3535606
Paraíso,3535705
Paranapanema,3535804
Paranapuã,3535903
Parapuã,3536000
Pardinho,3536109
Pariquera-Açu,3536208
Parisi,3536257
Patrocínio Paulista,3536307
Paulicéia,3536406
Paulínia,3536505
Paulistânia,3536570
Paulo de Faria,3536604
Pederneiras,3536703
Pedra Bela,3536802
Pedranópolis,3536901
Pedregulho,3537008
Pedreira,3537107
Pedrinhas Paulista,3537156
Pedro de Toledo,3537206
Penápolis,3537305
Pereira Barreto,3537404
Pereiras,3537503
Peruíbe,3537602
Piacatu,3537701
Piedade,3537800
Pilar do Sul,3537909
Pindamonhangaba,3538006
Pindorama,3538105
Pinhalzinho,3538204
Piquerobi,3538303
Piquete,3538501
Piracaia,3538600
Piracicaba,3538709
Piraju,3538808
Pirajuí,3538907
Pirangi,3539004
Pirapora do Bom Jesus,3539103
Pirapozinho,3539202
Pirassununga,3539301
Piratininga,3539400
Pitangueiras,3539509
Planalto,3539608
Platina,3539707
Poá,3539806
Poloni,3539905
Pompéia,3540002
Pongaí,3540101
Pontal,3540200
Pontalinda,3540259
Pontes Gestal,3540309
Populina,3540408
Porangaba,3540507
Porto Feliz,3540606
Porto Ferreira,3540705
Potim,3540754
Potirendaba,3540804
Pracinha,3540853
Pradópolis,3540903
Praia Grande,3541000
Pratânia,3541059
Presidente Alves,3541109
Presidente Bernardes,3541208
Presidente Epitácio,3541307
Presidente Prudente,3541406
Presidente Venceslau,3541505
Promissão,3541604
Quadra,3541653
Quatá,3541703
Queiroz,3541802
Queluz,3541901
Quintana,3542008
Rafard,3542107
Rancharia,3542206
Redenção da Serra,3542305
Regente Feijó,3542404
Reginópolis,3542503
Registro,3542602
Restinga,3542701
Ribeira,3542800
Ribeirão Bonito,3542909
Ribeirão Branco,3543006
Ribeirão Corrente,3543105
Ribeirão do Sul,3543204
Ribeirão dos Índios,3543238
Ribeirão Grande,3543253
Ribeirão Pires,3543303
Ribeirão Preto,3543402
Rifaina,3543600
Rincão,3543709
Rinópolis,3543808
Rio Claro,3543907
Rio das Pedras,3544004
Rio Grande da Serra,3544103
Riolândia,3544202
Riversul,3543501
Rosana,3544251
Roseira,3544301
Rubiácea,3544400
Rubinéia,3544509
Sabino,3544608
Sagres,3544707
Sales,3544806
Sales Oliveira,3544905
Salesópolis,3545001
Salmourão,3545100
Saltinho,3545159
Salto,3545209
Salto de Pirapora,3545308
Salto Grande,3545407
Sandovalina,3545506
Santa Adélia,3545605
Santa Albertina,3545704
Santa Bárbara d'Oeste,3545803
Santa Branca,3546009
Santa Clara d'Oeste,3546108
Santa Cruz da Conceição,3546207
Santa Cruz da Esperança,3546256
Santa Cruz das Palmeiras,3546306
Santa Cruz do Rio Pardo,3546405
Santa Ernestina,3546504
Santa Fé do Sul,3546603
Santa Gertrudes,3546702
Santa Isabel,3546801
Santa Lúcia,3546900
Santa Maria da Serra,3547007
Santa Mercedes,3547106
Santa Rita do Passa Quatro,3547502
Santa Rita d'Oeste,3547403
Santa Rosa do Viterbo,3547601
Santa Salete,3547650
Santana da Ponte Pensa,3547205
Santana de Parnaíba,3547304
Santo Anastácio,3547700
Santo André,3547809
Santo Antônio da Alegria,3547908
Santo Antônio de Posse,3548005
Santo Antônio do Aracanguá,3548054
Santo Antônio do Jardim,3548104
Santo Antônio do Pinhal,3548203
Santo Expedito,3548302
Santópolis do Aguapeí,3548401
Santos,3548500
São Bento do Sapucaí,3548609
São Bernardo do Campo,3548708
São Caetano do Sul,3548807
São Carlos,3548906
São Francisco,3549003
São João da Boa Vista,3549102
São João das Duas Pontes,3549201
São João de Iracema,3549250
São João do Pau d'Alho,3549300
São Joaquim da Barra,3549409
São José da Bela Vista,3549508
São José do Barreiro,3549607
São José do Rio Pardo,3549706
São José do Rio Preto,3549805
São José dos Campos,3549904
São Lourenço da Serra,3549953
São Luís do Paraitinga,3550001
São Manuel,3550100
São Miguel Arcanjo,3550209
São Paulo,3550308
São Pedro,3550407
São Pedro do Turvo,3550506
São Roque,3550605
São Sebastião,3550704
São Sebastião da Grama,3550803
São Simão,3550902
São Vicente,3551009
Sarapuí,3551108
Sarutaiá,3551207
Sebastianópolis do Sul,3551306
Serra Azul,3551405
Serra Negra,3551603
Serrana,3551504
Sertãozinho,3551702
Sete Barras,3551801
Severínia,3551900
Silveiras,3552007
Socorro,3552106
Sorocaba,3552205
Sud Mennucci,3552304
Sumaré,3552403
Suzanápolis,3552551
Suzano,3552502
Tabapuã,3552601
Tabatinga,3552700
Taboão da Serra,3552809
Taciba,3552908
Taguaí,3553005
Taiaçu,3553104
Taiúva,3553203
Tambaú,3553302
Tanabi,3553401
Tapiraí,3553500
Tapiratiba,3553609
Taquaral,3553658
Taquaritinga,3553708
Taquarituba,3553807
Taquarivaí,3553856
Tarabaí,3553906
Tarumã,3553955
Tatuí,3554003
Taubaté,3554102
Tejupá,3554201
Teodoro Sampaio,3554300
Terra Roxa,3554409
Tietê,3554508
Timburi,3554607
Torre de Pedra,3554656
Torrinha,3554706
Trabiju,3554755
Tremembé,3554805
Três Fronteiras,3554904
Tuiuti,3554953
Tupã,3555000
Tupi Paulista,3555109
Turiúba,3555208
Turmalina,3555307
Ubarana,3555356
Ubatuba,3555406
Ubirajara,3555505
Uchôa,3555604
União Paulista,3555703
Urânia,3555802
Uru,3555901
Urupês,3556008
Valentim Gentil,3556107
Valinhos,3556206
Valparaíso,3556305
Vargem,3556354
Vargem Grande do Sul,3556404
Vargem Grande Paulista,3556453
Várzea Paulista,3556503
Vera Cruz,3556602
Vinhedo,3556701
Viradouro,3556800
Vista Alegre do Alto,3556909
Vitória Brasil,3556958
Votorantim,3557006
Votuporanga,3557105
Zacarias,3557154
