CAT;CLASSIF;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS;
A54;;Infecção gonocócica;A54   Infecc gonococica;;;
A55;;Linfogranuloma (venéreo) por clamídia;A55   Linfogranuloma p/clamidia;;;
A56;;Outras infecções causadas por clamídias transmitidas por via sexual;A56   Outr infecc p/clamidias transm p/via sexual;;;
A57;;Cancro mole;A57   Cancro mole;;;
A58;;Granuloma inguinal;A58   Granuloma inguinal;;;
A59;;Tricomoníase;A59   Tricomoniase;;;
A60;;Infecções anogenitais pelo vírus do herpes [herpes simples];A60   Infecc anogenitais p/virus do herpes;;;
A63;;Outras doenças de transmissão predominantemente sexual, não classificadas em outra parte;A63   Outr doenc de transm predom sexual NCOP;;;
A64;;Doenças sexualmente transmitidas, não especificadas;A64   Doenc sexualmente transm NE;;;
A65;;Sífilis não-venérea;A65   Sifilis nao-venerea;;;
A66;;Bouba;A66   Bouba;;;
A67;;Pinta [carate];A67   Pinta;;;
A68;;Febres recorrentes [Borrelioses];A68   Febres recorrentes;;;
A69;;Outras infecções por espiroquetas;A69   Outr infecc p/espiroquetas;;;
A70;;Infecções causadas por Clamídia psittaci;A70   Infecc causadas p/Clamidia psittaci;;;
A71;;Tracoma;A71   Tracoma;;;
A74;;Outras doenças causadas por Clamídias;A74   Outr doenc causadas p/Clamidias;;;
A75;;Tifo exantemático;A75   Tifo exantematico;;;
A77;;Febre maculosa [rickettsioses transmitidas por carrapatos];A77   Febre maculosa;;;
A78;;Febre Q;A78   Febre Q;;;
A79;;Outras rickettsioses;A79   Outr rickettsioses;;;
A80;;Poliomielite aguda;A80   Poliomielite aguda;;;
A81;;Infecções por vírus atípicos do sistema nervoso central;A81   Infecc p/virus atipicos sist nervoso central;;;
A82;;Raiva;A82   Raiva;;;
A83;;Encefalite por vírus transmitidos por mosquitos;A83   Encefalite p/virus transm p/mosquitos;;;
A84;;Encefalite por vírus transmitido por carrapatos;A84   Encefalite p/virus transm p/carrapatos;;;
A85;;Outras encefalites virais, não classificadas em outra parte;A85   Outr encefalites virais NCOP;;;
A86;;Encefalite viral, não especificada;A86   Encefalite viral NE;;;
A87;;Meningite viral;A87   Meningite viral;;;
A88;;Outras infecções virais do sistema nervoso central não classificadas em outra parte;A88   Outr infecc virais sist nervoso central NCOP;;;
A89;;Infecções virais não especificadas do sistema nervoso central;A89   Infecc virais NE do sist nervoso central;;;
A90;;Dengue [dengue clássico];A90   Dengue;;;
A91;;Febre hemorrágica devida ao vírus do dengue;A91   Febre hemorragica dev virus do dengue;;;
A92;;Outras febres virais transmitidas por mosquitos;A92   Outr febres virais transm p/mosquitos;;;
A93;;Outras febres por vírus transmitidas por artrópodes não classificadas em outra parte;A93   Outr febres p/virus transm p/artropodes NCOP;;;
A94;;Febre viral transmitida por artrópodes, não especificada;A94   Febre viral transm p/artropodes NE;;;
A95;;Febre amarela;A95   Febre amarela;;;
A96;;Febre hemorrágica por arenavírus;A96   Febre hemorragica p/arenavirus;;;
A98;;Outras febres hemorrágicas por vírus, não classificadas em outra parte;A98   Outr febres hemorragicas p/virus NCOP;;;
A99;;Febres hemorrágicas virais não especificadas;A99   Febres hemorragicas virais NE;;;
B00;;Infecções pelo vírus do herpes [herpes simples];B00   Infecc p/virus do herpes;;;
B01;;Varicela [Catapora];B01   Varicela;;;
B02;;Herpes zoster [Zona];B02   Herpes zoster;;;
B03;;Varíola;B03   Variola;;;
B04;;Varíola dos macacos [Monkeypox];B04   Variola dos macacos;;;
B05;;Sarampo;B05   Sarampo;;;
B06;;Rubéola;B06   Rubeola;;;
B07;;Verrugas de origem viral;B07   Verrugas orig viral;;;
B08;;Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte;B08   Outr inf virais lesoes pele membr muc NCOP;;;
B09;;Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas;B09   Inf viral NE caract p/lesoes pele membr muco;;;
B15;;Hepatite aguda A;B15   Hepatite aguda A;;;
B16;;Hepatite aguda B;B16   Hepatite aguda B;;;
B17;;Outras hepatites virais agudas;B17   Outr hepatites virais agudas;;;
B18;;Hepatite viral crônica;B18   Hepatite viral cronica;;;
B19;;Hepatite viral não especificada;B19   Hepatite viral NE;;;
B20;;Doença pelo vírus da imunodeficiência humana [HIV], resultando em doenças infecciosas e parasitárias;B20   Doenc p/HIV result doenc infecc e parasit;;;
B21;;Doença pelo vírus da imunodeficiência humana [HIV], resultando em neoplasias malignas;B21   Doenc p/HIV result em neopl malig;;;
B22;;Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças especificadas;B22   Doenc p/HIV result em outr doenc espec;;;
B23;;Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças;B23   Doenc p/HIV result em outr doenc;;;
B24;;Doença pelo vírus da imunodeficiência humana [HIV] não especificada;B24   Doenc p/HIV NE;;;
B25;;Doença por citomegalovírus;B25   Doenc p/citomegalovirus;;;
B26;;Caxumba [Parotidite epidêmica];B26   Caxumba;;;
B27;;Mononucleose infecciosa;B27   Mononucleose infecc;;;
B30;;Conjuntivite viral;B30   Conjuntivite viral;;;
B33;;Outras doenças por vírus não classificada em outra parte;B33   Outr doenc p/virus NCOP;;;
B34;;Doenças por vírus, de localização não especificada;B34   Doenc p/virus de localiz NE;;;
B35;;Dermatofitose;B35   Dermatofitose;;;
B36;;Outras micoses superficiais;B36   Outr micoses superf;;;
B37;;Candidíase;B37   Candidiase;;;
B38;;Coccidioidomicose;B38   Coccidioidomicose;;;
B39;;Histoplasmose;B39   Histoplasmose;;;
B40;;Blastomicose;B40   Blastomicose;;;
B41;;Paracoccidioidomicose;B41   Paracoccidioidomicose;;;
B42;;Esporotricose;B42   Esporotricose;;;
B43;;Cromomicose e abscesso feomicótico;B43   Cromomicose e abscesso feomicotico;;;
B44;;Aspergilose;B44   Aspergilose;;;
B45;;Criptococose;B45   Criptococose;;;
B46;;Zigomicose;B46   Zigomicose;;;
B47;;Micetoma;B47   Micetoma;;;
B48;;Outras micoses, não classificadas em outra parte;B48   Outr micoses NCOP;;;
B49;;Micose não especificada;B49   Micose NE;;;
B50;;Malária por Plasmodium falciparum;B50   Malaria p/Plasmodium falciparum;;;
B51;;Malária por Plasmodium vivax;B51   Malaria p/Plasmodium vivax;;;
B52;;Malária por Plasmodium malariae;B52   Malaria p/Plasmodium malariae;;;
B53;;Outras formas de malária confirmadas por exames parasitológicos;B53   Outr form malaria conf p/exames parasitolog;;;
B54;;Malária não especificada;B54   Malaria NE;;;
B55;;Leishmaniose;B55   Leishmaniose;;;
B56;;Tripanossomíase africana;B56   Tripanossomiase africana;;;
B57;;Doença de Chagas;B57   Doenc de Chagas;;;
B58;;Toxoplasmose;B58   Toxoplasmose;;;
B59;+;Pneumocistose;B59   Pneumocistose;J17.3*;;
B60;;Outras doenças devidas a protozoários, não classificadas em outra parte;B60   Outr doenc dev protozoarios NCOP;;;
B64;;Doença não especificada devida a protozoários;B64   Doenc NE dev protozoarios;;;
B65;;Esquistossomose [bilharziose] [Schistosomíase];B65   Esquistossomose;;;
B66;;Outras infestações por trematódeos;B66   Outr infestacoes p/trematodeos;;;
B67;;Equinococose;B67   Equinococose;;;
B68;;Infestação por Taenia;B68   Infestacao p/Taenia;;;
B69;;Cisticercose;B69   Cisticercose;;;
B70;;Difilobotríase e esparganose;B70   Difilobotriase e esparganose;;;
B71;;Outras infestações por cestóides;B71   Outr infestacoes p/cestoides;;;
B72;;Dracontíase;B72   Dracontiase;;;
B73;;Oncocercose;B73   Oncocercose;;;
B74;;Filariose;B74   Filariose;;;
B75;;Triquinose;B75   Triquinose;;;
B76;;Ancilostomíase;B76   Ancilostomiase;;;
B77;;Ascaridíase;B77   Ascaridiase;;;
B78;;Estrongiloidíase;B78   Estrongiloidiase;;;
B79;;Tricuríase;B79   Tricuriase;;;
B80;;Oxiuríase;B80   Oxiuriase;;;
B81;;Outras helmintíases intestinais, não classificadas em outra parte;B81   Outr helmintiases intestinais NCOP;;;
B82;;Parasitose intestinal não especificada;B82   Parasitose intestinal NE;;;
B83;;Outras helmintíases;B83   Outr helmintiases;;;
B85;;Pediculose e ftiríase;B85   Pediculose e ftiriase;;;
B86;;Escabiose [sarna];B86   Escabiose;;;
B87;;Miíase;B87   Miiase;;;
B88;;Outras infestações;B88   Outr infestacoes;;;
B89;;Doença parasitária não especificada;B89   Doenc parasit NE;;;
B90;;Seqüelas de tuberculose;B90   Sequelas de tuberc;;;
B91;;Seqüelas de poliomielite;B91   Sequelas de poliomielite;;;
B92;;Seqüelas de hanseníase [lepra];B92   Sequelas de hanseniase;;;
B94;;Seqüelas de outras doenças infecciosas e parasitárias e das não especificadas;B94   Sequelas de outr doenc infecc e parasit e NE;;;
B95;;Estreptococos e estafilococos como causa de doenças classificadas em outros capítulos;B95   Estr/estafilococo causa doenc class outr cap;;;
B96;;Outros agentes bacterianos, como causa de doenças classificadas em outros capítulos;B96   Outr agent bacter causa doenc class outr cap;;;
B97;;Vírus como causa de doenças classificadas em outros capítulos;B97   Virus como doenc class outr cap;;;
B99;;Doenças infecciosas, outras e as não especificadas;B99   Doenc infecc outr e as NE;;;
C00;;Neoplasia maligna do lábio;C00   Neopl malig do labio;;;
C01;;Neoplasia maligna da base da língua;C01   Neopl malig da base da lingua;;;
C02;;Neoplasia maligna de outras partes e de partes não especificadas da língua;C02   Neopl malig outr partes e NE da lingua;;;
C03;;Neoplasia maligna da gengiva;C03   Neopl malig da gengiva;;;
C04;;Neoplasia maligna do assoalho da boca;C04   Neopl malig do assoalho da boca;;;
C05;;Neoplasia maligna do palato;C05   Neopl malig do palato;;;
C06;;Neoplasia maligna de outras partes e de partes não especificadas da boca;C06   Neopl malig outr partes e partes NE da boca;;;
C07;;Neoplasia maligna da glândula parótida;C07   Neopl malig da gland parotida;;;
C08;;Neoplasia maligna de outras glândulas salivares maiores e as não especificadas;C08   Neopl malig outr gland saliv maiores e NE;;;
C09;;Neoplasia maligna da amígdala;C09   Neopl malig da amigdala;;;
C10;;Neoplasia maligna da orofaringe;C10   Neopl malig da orofaringe;;;
C11;;Neoplasia maligna da nasofaringe;C11   Neopl malig da nasofaringe;;;
C12;;Neoplasia maligna do seio piriforme;C12   Neopl malig do seio piriforme;;;
C13;;Neoplasia maligna da hipofaringe;C13   Neopl malig da hipofaringe;;;
C14;;Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade oral e faringe;C14   Neop mal out loc mal def labio cav oral far;;;
C15;;Neoplasia maligna do esôfago;C15   Neopl malig do esofago;;;
C16;;Neoplasia maligna do estômago;C16   Neopl malig do estomago;;;
C17;;Neoplasia maligna do intestino delgado;C17   Neopl malig do intestino delgado;;;
C18;;Neoplasia maligna do cólon;C18   Neopl malig do colon;;;
C19;;Neoplasia maligna da junção retossigmóide;C19   Neopl malig da juncao retossigmoide;;;
C20;;Neoplasia maligna do reto;C20   Neopl malig do reto;;;
C21;;Neoplasia maligna do ânus e do canal anal;C21   Neopl malig do anus e do canal anal;;;
C22;;Neoplasia maligna do fígado e das vias biliares intra-hepáticas;C22   Neopl malig figado vias biliares intra-hepat;;;
C23;;Neoplasia maligna da vesícula biliar;C23   Neopl malig da vesicula biliar;;;
C24;;Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares;C24   Neopl malig outr partes e NE vias biliares;;;
C25;;Neoplasia maligna do pâncreas;C25   Neopl malig do pancreas;;;
C26;;Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho digestivo;C26   Neopl malig outr mal def aparelho digestivo;;;
C30;;Neoplasia maligna da cavidade nasal e do ouvido médio;C30   Neopl malig cavidade nasal e do ouvido medio;;;
C31;;Neoplasia maligna dos seios da face;C31   Neopl malig dos seios da face;;;
C32;;Neoplasia maligna da laringe;C32   Neopl malig da laringe;;;
C33;;Neoplasia maligna da traquéia;C33   Neopl malig da traqueia;;;
C34;;Neoplasia maligna dos brônquios e dos pulmões;C34   Neopl malig dos bronquios e dos pulmoes;;;
C37;;Neoplasia maligna do timo;C37   Neopl malig do timo;;;
C38;;Neoplasia maligna do coração, mediastino e pleura;C38   Neopl malig do coracao mediastino e pleura;;;
C39;;Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respiratório e dos órgãos intratorácicos;C39   Neop mal out loc mal def ap resp org intrat;;;
C40;;Neoplasia maligna dos ossos e cartilagens articulares dos membros;C40   Neopl malig ossos/cartilag artic membros;;;
C41;;Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas;C41   Neopl malig ossos/cartil artic outr loc e NE;;;
C43;;Melanoma maligno da pele;C43   Melanoma malig da pele;;;
C44;;Outras neoplasias malignas da pele;C44   Outr neopl malig da pele;;;
C45;;Mesotelioma;C45   Mesotelioma;;;
C46;;Sarcoma de Kaposi;C46   Sarcoma de Kaposi;;;
C47;;Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo;C47   Neopl malig nervos perif e sist nerv autonom;;;
C48;;Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio;C48   Neopl malig tec moles retro- e peritonio;;;
C49;;Neoplasia maligna do tecido conjuntivo e de outros tecidos moles;C49   Neopl malig tec conjuntivo e outr tec moles;;;
C50;;Neoplasia maligna da mama;C50   Neopl malig da mama;;;
C51;;Neoplasia maligna da vulva;C51   Neopl malig da vulva;;;
C52;;Neoplasia maligna da vagina;C52   Neopl malig da vagina;;;
C53;;Neoplasia maligna do colo do útero;C53   Neopl malig do colo do utero;;;
C54;;Neoplasia maligna do corpo do útero;C54   Neopl malig do corpo do utero;;;
C55;;Neoplasia maligna do útero, porção não especificada;C55   Neopl malig do utero porcao NE;;;
C56;;Neoplasia maligna do ovário;C56   Neopl malig do ovario;;;
C57;;Neoplasia maligna de outros órgãos genitais femininos e dos não especificados;C57   Neopl malig outr org genitais femin e NE;;;
C58;;Neoplasia maligna da placenta;C58   Neopl malig da placenta;;;
C60;;Neoplasia maligna do pênis;C60   Neopl malig do penis;;;
C61;;Neoplasia maligna da próstata;C61   Neopl malig da prostata;;;
C62;;Neoplasia maligna dos testículos;C62   Neopl malig dos testiculos;;;
C63;;Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados;C63   Neopl malig outr org genit masc e NE;;;
C64;;Neoplasia maligna do rim, exceto pelve renal;C64   Neopl malig do rim exceto pelve renal;;;
C65;;Neoplasia maligna da pelve renal;C65   Neopl malig da pelve renal;;;
C66;;Neoplasia maligna dos ureteres;C66   Neopl malig dos ureteres;;;
C67;;Neoplasia maligna da bexiga;C67   Neopl malig da bexiga;;;
C68;;Neoplasia maligna de outros órgãos urinários e dos não especificados;C68   Neopl malig de outr orgaos urinarios e NE;;;
C69;;Neoplasia maligna do olho e anexos;C69   Neopl malig do olho e anexos;;;
C70;;Neoplasia maligna das meninges;C70   Neopl malig das meninges;;;
C71;;Neoplasia maligna do encéfalo;C71   Neopl malig do encefalo;;;
C72;;Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nervoso central;C72   Neop mal med esp nerv cran out sist nerv cen;;;
C73;;Neoplasia maligna da glândula tireóide;C73   Neopl malig da gland tireoide;;;
C74;;Neoplasia maligna da glândula supra-renal [Glândula adrenal];C74   Neopl malig da gland supra-renal;;;
C75;;Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas;C75   Neopl malig outr gland endocrinas estr relac;;;
C76;;Neoplasia maligna de outras localizações e de localizações mal definidas;C76   Neopl malig outr localiz e mal definidas;;;
C77;;Neoplasia maligna secundária e não especificada dos gânglios linfáticos;C77   Neopl malig secund e NE gangl linfaticos;;;
C78;;Neoplasia maligna secundária dos órgãos respiratórios e digestivos;C78   Neopl malig secund org respirat e digestivos;;;
C79;;Neoplasia maligna secundária de outras localizações;C79   Neopl malig secund de outr localiz;;;
C80;;Neoplasia maligna, sem especificação de localização;C80   Neopl malig s/especificacao de localiz;;;
C81;;Doença de Hodgkin;C81   Doenc de Hodgkin;;;
C82;;Linfoma não-Hodgkin, folicular (nodular);C82   Linfoma nao-Hodgkin folicular;;;
C83;;Linfoma não-Hodgkin difuso;C83   Linfoma nao-Hodgkin difuso;;;
C84;;Linfomas de células T cutâneas e periféricas;C84   Linfomas de celulas T cutaneas e perifericas;;;
C85;;Linfoma não-Hodgkin de outros tipos e de tipo não especificado;C85   Linfoma nao-Hodgkin de outr tipos e tipo NE;;;
C88;;Doenças imunoproliferativas malignas;C88   Doenc imunoproliferativas malignas;;;
C90;;Mieloma múltiplo e neoplasias malignas de plasmócitos;C90   Mieloma mult e neopl malig de plasmocitos;;;
C91;;Leucemia linfóide;C91   Leucemia linfoide;;;
C92;;Leucemia mielóide;C92   Leucemia mieloide;;;
C93;;Leucemia monocítica;C93   Leucemia monocitica;;;
C94;;Outras leucemias de células de tipo especificado;C94   Outr leucemias de celulas de tipo espec;;;
C95;;Leucemia de tipo celular não especificado;C95   Leucemia de tipo celular NE;;;
C96;;Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e tecidos correlatos;C96   Outr neopl mal e NE tec linf hematop e corr;;;
C97;;Neoplasias malignas de localizações múltiplas independentes (primárias);C97   Neopl malig de localiz mult independentes;;;
D00;;Carcinoma in situ da cavidade oral, do esôfago e do estômago;D00   Carcinoma in situ cav oral esofago estomago;;;
D01;;Carcinoma in situ de outros órgãos digestivos;D01   Carcinoma in situ de outr orgaos digestivos;;;
D02;;Carcinoma in situ do ouvido médio e do aparelho respiratório;D02   Carcinoma in situ ouvido medio e ap respirat;;;
D03;;Melanoma in situ;D03   Melanoma in situ;;;
D04;;Carcinoma in situ da pele;D04   Carcinoma in situ da pele;;;
D05;;Carcinoma in situ da mama;D05   Carcinoma in situ da mama;;;
D06;;Carcinoma in situ do colo do útero (cérvix);D06   Carcinoma in situ do colo do utero;;;
D07;;Carcinoma in situ de outros órgãos genitais e dos não especificados;D07   Carcinoma in situ outr orgaos genitais e NE;;;
D09;;Carcinoma in situ de outras localizações e das não especificadas;D09   Carcinoma in situ de outr localiz e das NE;;;
D10;;Neoplasia benigna da boca e da faringe;D10   Neopl benig da boca e da faringe;;;
D11;;Neoplasia benigna de glândulas salivares maiores;D11   Neopl benig de gland salivares maiores;;;
D12;;Neoplasia benigna do cólon, reto, canal anal e ânus;D12   Neopl benig do colon reto canal anal e anus;;;
D13;;Neoplasia benigna de outras partes e de partes mal definidas do aparelho digestivo;D13   Neopl benig outr part e mal def ap digestivo;;;
D14;;Neoplasia benigna do ouvido médio e do aparelho respiratório;D14   Neopl benig ouvido medio e aparelho respirat;;;
D15;;Neoplasia benigna de outros órgãos intratorácicos e dos não especificados;D15   Neopl benig outr orgaos intratoracicos e NE;;;
D16;;Neoplasia benigna de osso e de cartilagem articular;D16   Neopl benig de osso e cartilagem articular;;;
D17;;Neoplasia lipomatosa benigna;D17   Neopl lipomatosa benig;;;
D18;;Hemangioma e linfangioma de qualquer localização;D18   Hemangioma e linfangioma de qualquer localiz;;;
D19;;Neoplasia benigna de tecido mesotelial;D19   Neopl benig de tec mesotelial;;;
D20;;Neoplasia benigna de tecido mole do retroperitônio e do peritônio;D20   Neopl benig tec mole retro- e peritonio;;;
D21;;Outras neoplasias benignas do tecido conjuntivo e de outros tecidos moles;D21   Outr neopl benig tec conj e outr tec moles;;;
D22;;Nevos melanocíticos;D22   Nevos melanociticos;;;
D23;;Outras neoplasias benignas da pele;D23   Outr neopl benig da pele;;;
D24;;Neoplasia benigna da mama;D24   Neopl benig da mama;;;
D25;;Leiomioma do útero;D25   Leiomioma do utero;;;
D26;;Outras neoplasias benignas do útero;D26   Outr neopl benig do utero;;;
D27;;Neoplasia benigna do ovário;D27   Neopl benig do ovario;;;
D28;;Neoplasia benigna de outros órgãos genitais femininos e de órgãos não especificados;D28   Neopl benig outr org genitais femin e NE;;;
D29;;Neoplasia benigna dos órgãos genitais masculinos;D29   Neopl benig dos orgaos genitais masc;;;
D30;;Neoplasia benigna dos órgãos urinários;D30   Neopl benig dos orgaos urinarios;;;
D31;;Neoplasia benigna do olho e anexos;D31   Neopl benig do olho e anexos;;;
D32;;Neoplasia benigna das meninges;D32   Neopl benig das meninges;;;
D33;;Neoplasia benigna do encéfalo e de outras partes do sistema nervoso central;D33   Neopl benig encef e out part sist nerv centr;;;
D34;;Neoplasia benigna da glândula tireóide;D34   Neopl benig da gland tireoide;;;
D35;;Neoplasia benigna de outras glândulas endócrinas e das não especificadas;D35   Neopl benig de outr gland endocrinas e NE;;;
D36;;Neoplasia benigna de outras localizações e de localizações não especificadas;D36   Neopl benig de outr localiz e de localiz NE;;;
D37;;Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos;D37   Neopl comp incerto/desc cav oral e org dig;;;
D38;;Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios e intratorácicos;D38   Neopl comp inc/desc ouv med org resp intrat;;;
D39;;Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos;D39   Neopl comp incerto/desconh org genitais fem;;;
D40;;Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos;D40   Neopl comp incerto/desconh org genitais masc;;;
D41;;Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários;D41   Neopl comp incerto/desconh orgaos urinarios;;;
D42;;Neoplasia de comportamento incerto ou desconhecido das meninges;D42   Neopl comp incerto/desconhecido meninges;;;
D43;;Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central;D43   Neopl comp inc/desc encefalo sist nerv centr;;;
D44;;Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas;D44   Neopl comp incerto/desconh gland endocrinas;;;
D45;;Policitemia vera;D45   Policitemia vera;;;
D46;;Síndromes mielodisplásicas;D46   Sindr mielodisplasicas;;;
D47;;Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos correlatos;D47   Out neop comp inc/des tec linf hemat tec cor;;;
D48;;Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações não especificadas;D48   Neopl comp inc/desconh outr localiz e NE;;;
D50;;Anemia por deficiência de ferro;D50   Anemia p/defic de ferro;;;
D51;;Anemia por deficiência de vitamina B12;D51   Anemia p/defic de vitamina B12;;;
D52;;Anemia por deficiência de folato;D52   Anemia p/defic de folato;;;
D53;;Outras anemias nutricionais;D53   Outr anemias nutricionais;;;
D55;;Anemia devida a transtornos enzimáticos;D55   Anemia dev transt enzimaticos;;;
D56;;Talassemia;D56   Talassemia;;;
D57;;Transtornos falciformes;D57   Transt falciformes;;;
D58;;Outras anemias hemolíticas hereditárias;D58   Outr anemias hemoliticas hereditarias;;;
D59;;Anemia hemolítica adquirida;D59   Anemia hemolitica adquir;;;
D60;;Aplasia pura da série vermelha, adquirida [eritroblastopenia];D60   Aplasia pura da serie vermelha adquir;;;
D61;;Outras anemias aplásticas;D61   Outr anemias aplasticas;;;
D62;;Anemia aguda pós-hemorrágica;D62   Anemia aguda pos-hemorragica;;;
D63;*;Anemia em doenças crônicas classificadas em outra parte;D63   Anemia em doenc cronicas COP;;;
D64;;Outras anemias;D64   Outr anemias;;;
D65;;Coagulação intravascular disseminada [síndrome de desfibrinação];D65   Coagulacao intravascular disseminada;;;
D66;;Deficiência hereditária do fator VIII;D66   Defic hereditaria do fator VIII;;;
D67;;Deficiência hereditária do fator IX;D67   Defic hereditaria do fator IX;;;
D68;;Outros defeitos da coagulação;D68   Outr defeitos da coagulacao;;;
D69;;Púrpura e outras afecções hemorrágicas;D69   Purpura e outr afeccoes hemorragicas;;;
D70;;Agranulocitose;D70   Agranulocitose;;;
D71;;Transtornos funcionais dos neutrófilos polimorfonucleares;D71   Transt func neutrofilos polimorfonucleares;;;
D72;;Outros transtornos dos glóbulos brancos;D72   Outr transt dos globulos brancos;;;
D73;;Doenças do baço;D73   Doenc do baco;;;
D74;;Metemoglobinemia;D74   Metemoglobinemia;;;
D75;;Outras doenças do sangue e dos órgãos hematopoéticos;D75   Outr doenc sangue e orgaos hematopoeticos;;;
D76;;Algumas doenças que envolvem o tecido linforreticular e o sistema reticulohistiocítico;D76   Alg doenc q env tec linforr e sist reticuloh;;;
D77;*;Outros transtornos do sangue e dos órgãos hematopoéticos em doenças classificadas em outra parte;D77   Outr transt sangue e org hematop doenc COP;;;
D80;;Imunodeficiência com predominância de defeitos de anticorpos;D80   Imunodefic c/predom defeitos anticorpos;;;
D81;;Deficiências imunitárias combinadas;D81   Defic imunitarias combinadas;;;
D82;;Imunodeficiência associada com outros defeitos "major";D82   Imunodeficiencia assoc c/outr defeitos major;;;
D83;;Imunodeficiência comum variável;D83   Imunodeficiencia comum variavel;;;
