CATINIC;CATFIM;DESCRICAO;DESCRABREV;
C30;C39;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neopl malig aparelho respirat e órgãos intratorác;
C40;C41;Neoplasias malignas dos ossos e das cartilagens articulares;Neopl malig dos ossos e cartilagens articulares;
C43;C44;Melanoma e outras(os) neoplasias malignas da pele;Melanoma e outras(os) neoplasias malignas da pele;
C45;C49;Neoplasias malignas do tecido mesotelial e tecidos moles;Neopl malig do tecido mesotelial e tecidos moles;
C50;C50;Neoplasias malignas da mama;Neoplasias malignas da mama;
C51;C58;Neoplasias malignas dos órgãos genitais femininos;Neoplasias malignas dos órgãos genitais femininos;
C60;C63;Neoplasias malignas dos órgãos genitais masculinos;Neoplasias malignas dos órgãos genitais masculinos;
C64;C68;Neoplasias malignas do trato urinário;Neoplasias malignas do trato urinário;
C69;C72;Neoplasias malignas dos olhos, do encéfalo e de outras partes do sistema nervoso central;Neopl malig olhos encéf outr part sist nerv centr;
C73;C75;Neoplasias malignas da tireóide e de outras glândulas endócrinas;Neopl malig tireóide e outras glândulas endócrinas;
C76;C80;Neoplasias malignas de localizações mal definidas, secundárias e de localizações não especificadas;Neopl malig local mal def, secund e local n espec;
C81;C96;Neoplasias [tumores] malignas(os), declaradas ou presumidas como primárias, dos tecidos linfático, hematopoético e tecidos correlatos;Neopl malig tecido linfát hematopoét e correlatos;
C97;C97;Neoplasias malignas de localizações múltiplas independentes (primárias);Neopl malig local múltiplas independentes (prim);
D00;D09;Neoplasias [tumores] in situ;Neoplasias [tumores] in situ;
D10;D36;Neoplasias [tumores] benignas(os);Neoplasias [tumores] benignas(os);
D37;D48;Neoplasias [tumores] de comportamento incerto ou desconhecido;Neopl de comportamento incerto ou desconhecido;
D50;D53;Anemias nutricionais;Anemias nutricionais;
D55;D59;Anemias hemolíticas;Anemias hemolíticas;
D60;D64;Anemias aplásticas e outras anemias;Anemias aplásticas e outras anemias;
D65;D69;Defeitos da coagulação, púrpura e outras afecções hemorrágicas;Defeitos coagulação, púrpura, outr afecç hemorrág;
D70;D77;Outras doenças do sangue e dos órgãos hematopoéticos;Outras doenças do sangue e órgãos hematopoéticos;
D80;D89;Alguns transtornos que comprometem o mecanismo imunitário;Alguns transt q comprometem o mecanismo imunitário;
E00;E07;Transtornos da glândula tireóide;Transtornos da glândula tireóide;
E10;E14;Diabetes mellitus;Diabetes mellitus;
E15;E16;Outros transtornos da regulação da glicose e da secreção pancreática interna;Outr transt regulação glicose e secr pancreát int;
E20;E35;Transtornos de outras glândulas endócrinas;Transtornos de outras glândulas endócrinas;
E40;E46;Desnutrição;Desnutrição;
E50;E64;Outras deficiências nutricionais;Outras deficiências nutricionais;
E65;E68;Obesidade e outras formas de hiperalimentação;Obesidade e outras formas de hiperalimentação;
E70;E90;Distúrbios metabólicos;Distúrbios metabólicos;
F00;F09;Transtornos mentais orgânicos, inclusive os sintomáticos;Transtornos mentais orgânicos, incl sintomáticos;
F10;F19;Transtornos mentais e comportamentais devidos ao uso de substância psicoativa;Transt ment e comport dev ao uso subst psicoativa;
F20;F29;Esquizofrenia, transtornos esquizotípicos e transtornos delirantes;Esquizofrenia, transt esquizotípicos e delirantes;
F30;F39;Transtornos do humor [afetivos];Transtornos do humor [afetivos];
F40;F48;Transtornos neuróticos, transtornos relacionados com o "stress" e transtornos somatoformes;Transt neuróticos, relacion stress e somatoformes;
F50;F59;Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos;Síndr comport assoc disfunç fisiológ e fat físicos;
F60;F69;Transtornos da personalidade e do comportamento do adulto;Transtornos da personalidade e do comport adulto;
F70;F79;Retardo mental;Retardo mental;
F80;F89;Transtornos do desenvolvimento psicológico;Transtornos do desenvolvimento psicológico;
F90;F98;Transtornos do comportamento e transtornos emocionais que aparecem habitualmente durante a infância ou a adolescência;Transt compor e emoc q aparecem dur infânc adolesc;
F99;F99;Transtorno mental não especificado;Transtorno mental não especificado;
G00;G09;Doenças inflamatórias do sistema nervoso central;Doenças inflamatórias do sistema nervoso central;
G10;G13;Atrofias sistêmicas que afetam principalmente o sistema nervoso central;Atrofias sistêm q afetam princ o sist nerv central;
G20;G26;Doenças extrapiramidais e transtornos dos movimentos;Doenças extrapiramidais e transt dos movimentos;
G30;G32;Outras doenças degenerativas do sistema nervoso;Outras doenças degenerativas do sistema nervoso;
G35;G37;Doenças desmielinizantes do sistema nervoso central;Doenças desmielinizantes do sist nervoso central;
G40;G47;Transtornos episódicos e paroxísticos;Transtornos episódicos e paroxísticos;
G50;G59;Transtornos dos nervos, das raízes e dos plexos nervosos;Transtornos dos nervos, raízes e plexos nervosos;
G60;G64;Polineuropatias e outros transtornos do sistema nervoso periférico;Polineuropatias e outr transt sist nerv periférico;
G70;G73;Doenças da junção mioneural e dos músculos;Doenças da junção mioneural e dos músculos;
G80;G83;Paralisia cerebral e outras síndromes paralíticas;Paralisia cerebral e outras síndromes paralíticas;
G90;G99;Outros transtornos do sistema nervoso;Outros transtornos do sistema nervoso;
H00;H06;Transtornos da pálpebra, do aparelho lacrimal e da órbita;Transtornos pálpebra, aparelho lacrimal e órbita;
H10;H13;Transtornos da conjuntiva;Transtornos da conjuntiva;
H15;H22;Transtornos da esclerótica, da córnea, da íris e do corpo ciliar;Transtorn esclerótica, córnea, íris e corpo ciliar;
H25;H28;Transtornos do cristalino;Transtornos do cristalino;
H30;H36;Transtornos da coróide e da retina;Transtornos da coróide e da retina;
H40;H42;Glaucoma;Glaucoma;
H43;H45;Transtornos do humor vítreo e do globo ocular;Transtornos do humor vítreo e do globo ocular;
H46;H48;Transtornos do nervo óptico e das vias ópticas;Transtornos do nervo óptico e das vias ópticas;
H49;H52;Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração;Transt músc oculares, movim binoc, acomod e refraç;
H53;H54;Transtornos visuais e cegueira;Transtornos visuais e cegueira;
H55;H59;Outros transtornos do olho e anexos;Outros transtornos do olho e anexos;
H60;H62;Doenças do ouvido externo;Doenças do ouvido externo;
H65;H75;Doenças do ouvido médio e da mastóide;Doenças do ouvido médio e da mastóide;
H80;H83;Doenças do ouvido interno;Doenças do ouvido interno;
H90;H95;Outros transtornos do ouvido;Outros transtornos do ouvido;
I00;I02;Febre reumática aguda;Febre reumática aguda;
I05;I09;Doenças reumáticas crônicas do coração;Doenças reumáticas crônicas do coração;
I10;I15;Doenças hipertensivas;Doenças hipertensivas;
I20;I25;Doenças isquêmicas do coração;Doenças isquêmicas do coração;
I26;I28;Doenças cardíaca pulmonar e da circulação pulmonar;Doenças cardíaca pulmonar e da circulação pulmonar;
I30;I52;Outras formas de doença do coração;Outras formas de doença do coração;
I60;I69;Doenças cerebrovasculares;Doenças cerebrovasculares;
I70;I79;Doenças das artérias, das arteríolas e dos capilares;Doenças das artérias, das arteríolas e capilares;
I80;I89;Doenças das veias, dos vasos linfáticos e dos gânglios linfáticos, não classificadas em outra parte;Doenças veias, vasos e gânglios linfáticos, NCOP;
I95;I99;Outros transtornos, e os não especificados do aparelho circulatório;Outros transt e os não espec aparelho circulatório;
J00;J06;Infecções agudas das vias aéreas superiores;Infecções agudas das vias aéreas superiores;
J09;J18;Influenza [gripe] e pneumonia;Influenza [gripe] e pneumonia;
J20;J22;Outras infecções agudas das vias aéreas inferiores;Outras infecções agudas das vias aéreas inferiores;
J30;J39;Outras doenças das vias aéreas superiores;Outras doenças das vias aéreas superiores;
J40;J47;Doenças crônicas das vias aéreas inferiores;Doenças crônicas das vias aéreas inferiores;
J60;J70;Doenças pulmonares devidas a agentes externos;Doenças pulmonares devidas a agentes externos;
J80;J84;Outras doenças respiratórias que afetam principalmente o interstício;Outras doenças respirat q afetam princ interstício;
J85;J86;Afecções necróticas e supurativas das vias aéreas inferiores;Afecções necróticas e supurat vias aéreas infer;
J90;J94;Outras doenças da pleura;Outras doenças da pleura;
J95;J99;Outras doenças do aparelho respiratório;Outras doenças do aparelho respiratório;
K00;K14;Doenças da cavidade oral, das glândulas salivares e dos maxilares;Doenças cavidade oral, glând salivares e maxilares;
K20;K31;Doenças do esôfago, do estômago e do duodeno;Doenças do esôfago, do estômago e do duodeno;
K35;K38;Doenças do apêndice;Doenças do apêndice;
K40;K46;Hérnias;Hérnias;
K50;K52;Enterites e colites não-infecciosas;Enterites e colites não-infecciosas;
K55;K63;Outras doenças dos intestinos;Outras doenças dos intestinos;
K65;K67;Doenças do peritônio;Doenças do peritônio;
K70;K77;Doenças do fígado;Doenças do fígado;
K80;K87;Transtornos da vesícula biliar, das vias biliares e do pâncreas;Transt vesícula biliar, vias biliares e pâncreas;
K90;K93;Outras doenças do aparelho digestivo;Outras doenças do aparelho digestivo;
L00;L08;Infecções da pele e do tecido subcutâneo;Infecções da pele e do tecido subcutâneo;
L10;L14;Afecções bolhosas;Afecções bolhosas;
L20;L30;Dermatite e eczema;Dermatite e eczema;
L40;L45;Afecções pápulo-descamativas;Afecções pápulo-descamativas;
L50;L54;Urticária e eritema;Urticária e eritema;
L55;L59;Transtornos da pele e do tecido subcutâneo relacionados com a radiação;Transt pele e tecido subcutâneo relac c/radiação;
L60;L75;Afecções dos anexos da pele;Afecções dos anexos da pele;
L80;L99;Outras afecções da pele e do tecido subcutâneo;Outras afecções da pele e do tecido subcutâneo;
M00;M25;Artropatias;Artropatias;
M00;M03;Artropatias infecciosas;Artropatias infecciosas;
M05;M14;Poliartropatias inflamatórias;Poliartropatias inflamatórias;
M15;M19;Artroses;Artroses;
M20;M25;Outros transtornos articulares;Outros transtornos articulares;
M30;M36;Doenças sistêmicas do tecido conjuntivo;Doenças sistêmicas do tecido conjuntivo;
M40;M54;Dorsopatias;Dorsopatias;
M40;M43;Dorsopatias deformantes;Dorsopatias deformantes;
M45;M49;Espondilopatias;Espondilopatias;
M50;M54;Outras dorsopatias;Outras dorsopatias;
M60;M79;Transtornos dos tecidos moles;Transtornos dos tecidos moles;
M60;M63;Transtornos musculares;Transtornos musculares;
M65;M68;Transtornos das sinóvias e dos tendões;Transtornos das sinóvias e dos tendões;
M70;M79;Outros transtornos dos tecidos moles;Outros transtornos dos tecidos moles;
M80;M94;Osteopatias e condropatias;Osteopatias e condropatias;
M80;M85;Transtornos da densidade e da estrutura óssea;Transtornos da densidade e da estrutura óssea;
M86;M90;Outras osteopatias;Outras osteopatias;
M91;M94;Condropatias;Condropatias;
M95;M99;Outros transtornos do sistema osteomuscular e do tecido conjuntivo;Outr transt sist osteomuscular e tecido conjuntivo;
N00;N08;Doenças glomerulares;Doenças glomerulares;
N10;N16;Doenças renais túbulo-intersticiais;Doenças renais túbulo-intersticiais;
N17;N19;Insuficiência renal;Insuficiência renal;
N20;N23;Calculose renal;Calculose renal;
N25;N29;Outros transtornos do rim e do ureter;Outros transtornos do rim e do ureter;
N30;N39;Outras doenças do aparelho urinário;Outras doenças do aparelho urinário;
N40;N51;Doenças dos órgãos genitais masculinos;Doenças dos órgãos genitais masculinos;
N60;N64;Doenças da mama;Doenças da mama;
N70;N77;Doenças inflamatórias dos órgãos pélvicos femininos;Doenças inflamatórias órgãos pélvicos femininos;
N80;N98;Transtornos não-inflamatórios do trato genital feminino;Transt não-inflamatórios do trato genital feminino;
N99;N99;Outros transtornos do aparelho geniturinário;Outros transtornos do aparelho geniturinário;
O00;O08;Gravidez que termina em aborto;Gravidez que termina em aborto;
O10;O16;Edema, proteinúria e transtornos hipertensivos na gravidez, no parto e no puerpério;Edema proteinúr e transt hipert gravid parto puerp;
O20;O29;Outros transtornos maternos relacionados predominantemente com a gravidez;Outros transtornos maternos relac predom gravidez;
O30;O48;Assistência prestada à mãe por motivos ligados ao feto e à cavidade amniótica e por possíveis problemas relativos ao parto;Assist à mãe mot feto cavid amniót e prob rel part;
O60;O75;Complicações do trabalho de parto e do parto;Complicações do trabalho de parto e do parto;
O80;O84;Parto;Parto;
O85;O92;Complicações relacionadas predominantemente com o puerpério;Complicações relacionadas predom com o puerpério;
O94;O99;Outras afecções obstétricas não classificadas em outra parte;Outras afecções obstétricas NCOP;
P00;P04;Feto e recém-nascido afetados por fatores maternos e por complicações da gravidez, do trabalho de parto e do parto;Fet rec-nasc afet fat mat e compl grav, trab parto;
P05;P08;Transtornos relacionados com a duração da gestação e com o crescimento fetal;Transt relac com a duração gestação e cresc fetal;
P10;P15;Traumatismo de parto;Traumatismo de parto;
P20;P29;Transtornos respiratórios e cardiovasculares específicos do período perinatal;Transt respirat e cardiovasc específ per perinatal;
P35;P39;Infecções específicas do período perinatal;Infecções específicas do período perinatal;
P50;P61;Transtornos hemorrágicos e hematológicos do feto e do recém-nascido;Transt hemorrág e hematológ feto e recém-nascido;
P70;P74;Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido;Transt endócr e metaból trans espec fet e rec-nasc;
P75;P78;Transtornos do aparelho digestivo do feto ou do recém-nascido;Transt aparelho digestivo do feto ou recém-nascido;
P80;P83;Afecções comprometendo o tegumento e a regulação térmica do feto e do recém-nascido;Afecç comprom tegument e reg térm fet e recém-nasc;
P90;P96;Outros transtornos originados no período perinatal;Outros transtornos originados no período perinatal;
Q00;Q07;Malformações congênitas do sistema nervoso;Malformações congênitas do sistema nervoso;
Q10;Q18;Malformações congênitas do olho, do ouvido, da face e do pescoço;Malform congênitas do olho, ouvido, face e pescoço;
Q20;Q28;Malformações congênitas do aparelho circulatório;Malformações congênitas do aparelho circulatório;
Q30;Q34;Malformações congênitas do aparelho respiratório;Malformações congênitas do aparelho respiratório;
Q35;Q37;Fenda labial e fenda palatina;Fenda labial e fenda palatina;
Q38;Q45;Outras malformações congênitas do aparelho digestivo;Outras malformações congênitas aparelho digestivo;
Q50;Q56;Malformações congênitas dos órgãos genitais;Malformações congênitas dos órgãos genitais;
Q60;Q64;Malformações congênitas do aparelho urinário;Malformações congênitas do aparelho urinário;
Q65;Q79;Malformações e deformidades congênitas do sistema osteomuscular;Malform e deform congênit do sistema osteomuscular;
Q80;Q89;Outras malformações congênitas;Outras malformações congênitas;
Q90;Q99;Anomalias cromossômicas não classificadas em outra parte;Anomalias cromossômicas NCOP;
R00;R09;Sintomas e sinais relativos ao aparelho circulatório e respiratório;Sint e sinais relat aparelho circulat e respirat;
R10;R19;Sintomas e sinais relativos ao aparelho digestivo e ao abdome;Sintom e sinais relat ao aparelho digest e abdome;
R20;R23;Sintomas e sinais relativos à pele e ao tecido subcutâneo;Sintom e sinais relat à pele e tecido subcutâneo;
R25;R29;Sintomas e sinais relativos aos sistemas nervoso e osteomuscular;Sint e sinais relat sist nervoso e osteomuscular;
R30;R39;Sintomas e sinais relativos ao aparelho urinário;Sintomas e sinais relativos ao aparelho urinário;
R40;R46;Sintomas e sinais relativos à cognição, à percepção, ao estado emocional e ao comportamento;Sint e sinais rel cogn percep estado emoc e compor;
R47;R49;Sintomas e sinais relativos à fala e à voz;Sintomas e sinais relativos à fala e à voz;
R50;R69;Sintomas e sinais gerais;Sintomas e sinais gerais;
R70;R79;Achados anormais de exames de sangue, sem diagnóstico;Achados anormais exames de sangue, sem diagnóstico;
R80;R82;Achados anormais de exames de urina, sem diagnóstico;Achados anormais exames de urina, sem diagnóstico;
R83;R89;Achados anormais de exames e de outros líquidos, substâncias e tecidos do corpo, sem diagnóstico;Achad anorm exam e out líq, subs e tec corp s/diag;
R90;R94;Achados anormais de exames para diagnóstico por imagem e em estudos de função, sem diagnóstico;Achad anorm exam diag imagem estud função, s/diag;
R95;R99;Causas mal definidas e desconhecidas de mortalidade;Causas mal definidas e desconhecidas mortalidade;
S00;S09;Traumatismos da cabeça;Traumatismos da cabeça;
S10;S19;Traumatismos do pescoço;Traumatismos do pescoço;
S20;S29;Traumatismos do tórax;Traumatismos do tórax;
S30;S39;Traumatismos do abdome, do dorso, da coluna lombar e da pelve;Traumatismos abdome, dorso, coluna lombar e pelve;
S40;S49;Traumatismos do ombro e do braço;Traumatismos do ombro e do braço;
S50;S59;Traumatismos do cotovelo e do antebraço;Traumatismos do cotovelo e do antebraço;
S60;S69;Traumatismos do punho e da mão;Traumatismos do punho e da mão;
S70;S79;Traumatismos do quadril e da coxa;Traumatismos do quadril e da coxa;
S80;S89;Traumatismos do joelho e da perna;Traumatismos do joelho e da perna;
S90;S99;Traumatismos do tornozelo e do pé;Traumatismos do tornozelo e do pé;
T00;T07;Traumatismos envolvendo múltiplas regiões do corpo;Traumatismos envolvendo múltiplas regiões do corpo;
T08;T14;Traumatismos de localização não especificada do tronco, membro ou outra região do corpo;Traum local não espec tronco membro outr reg corpo;
T15;T19;Efeito da penetração de corpo estranho através de orifício natural;Efeito penetr corpo estranho através orif natural;
T20;T32;Queimaduras e corrosões;Queimaduras e corrosões;
T20;T25;Queimaduras e corrosões da superfície externa do corpo, especificadas por local;Queimad e corros superf ext corpo, espec p/local;
T26;T28;Queimaduras e corrosões limitadas ao olho e aos órgãos internos;Queimad e corrosões limit olho e órgãos internos;
T29;T32;Queimaduras e corrosões de múltiplas regiões e de regiões não especificadas do corpo;Queimad e corrosões múlt reg e reg não espec corpo;
T33;T35;Geladuras [frostbite];Geladuras [frostbite];
T36;T50;Intoxicação por drogas, medicamentos e substâncias biológicas;Intox por drogas, medicamentos e subst biológicas;
T51;T65;Efeitos tóxicos de substâncias de origem predominantemente não-medicinal;Efeitos tóxicos subst origem predom não-medicinal;
T66;T78;Outros efeitos de causas externas e os não especificados;Outros efeitos de causas externas e os não espec;
T79;T79;Algumas complicações precoces de traumatismos;Algumas complicações precoces de traumatismos;
T80;T88;Complicações de cuidados médicos e cirúrgicos, não classificados em outra parte;Complicações cuidados médicos e cirúrgicos, NCOP;
T90;T98;Seqüelas de traumatismos, de intoxicações e de outras conseqüências das causas externas;Seqüelas traum, intox e outr conseq causas extern;
V01;X59;Acidentes;Acidentes;
V01;V99;Acidentes de transporte;Acidentes de transporte;
V01;V09;Pedestre traumatizado em um acidente de transporte;Pedestre traumatizado em um acidente de transporte;
V10;V19;Ciclista traumatizado em um acidente de transporte;Ciclista traumatizado em um acidente de transporte;
V20;V29;Motociclista traumatizado em um acidente de transporte;Motociclista traumat em um acidente de transporte;
V30;V39;Ocupante de triciclo motorizado traumatizado em um acidente de transporte;Ocupante triciclo motorizado traumat acid transp;
V40;V49;Ocupante de um automóvel traumatizado em um acidente de transporte;Ocupante automóvel traumat acidente transporte;
V50;V59;Ocupante de uma caminhonete traumatizado em um acidente de transporte;Ocupante caminhonete traumat acidente transporte;
V60;V69;Ocupante de um veículo de transporte pesado traumatizado em um acidente de transporte;Ocupante veíc transp pesado traumat acid transp;
V70;V79;Ocupante de um ônibus traumatizado em um acidente de transporte;Ocupante ônibus traumat acidente de transporte;
V80;V89;Outros acidentes de transporte terrestre;Outros acidentes de transporte terrestre;
V90;V94;Acidentes de transporte por água;Acidentes de transporte por água;
V95;V97;Acidentes de transporte aéreo e espacial;Acidentes de transporte aéreo e espacial;
V98;V99;Outros acidentes de transporte e os não especificados;Outros acidentes de transporte e os não especif;
W00;X59;Outras causas externas de traumatismos acidentais;Outras causas externas de traumatismos acidentais;
W00;W19;Quedas;Quedas;
W20;W49;Exposição a forças mecânicas inanimadas;Exposição a forças mecânicas inanimadas;
W50;W64;Exposição a forças mecânicas animadas;Exposição a forças mecânicas animadas;
W65;W74;Afogamento e submersão acidentais;Afogamento e submersão acidentais;
W75;W84;Outros riscos acidentais à respiração;Outros riscos acidentais à respiração;
W85;W99;Exposição à corrente elétrica, à radiação e às temperaturas e pressões extremas do ambiente;Expos corr elétr, radiação e temp press extrem amb;
X00;X09;Exposição à fumaça, ao fogo e às chamas;Exposição à fumaça, ao fogo e às chamas;
X10;X19;Contato com uma fonte de calor ou com substâncias quentes;Contato com fonte de calor ou substâncias quentes;
X20;X29;Contato com animais e plantas venenosos;Contato com animais e plantas venenosos;
X30;X39;Exposição às forças da natureza;Exposição às forças da natureza;
X40;X49;Envenenamento [intoxicação] acidental por e exposição à substâncias nocivas;Envenenamento acidental e exposição subst nocivas;
X50;X57;Excesso de esforços, viagens e privações;Excesso de esforços, viagens e privações;
X58;X59;Exposição acidental a outros fatores e aos não especificados;Exposição acidental a outr fatores e aos não espec;
X60;X84;Lesões autoprovocadas intencionalmente;Lesões autoprovocadas intencionalmente;
X85;Y09;Agressões;Agressões;
Y10;Y34;Eventos (fatos) cuja intenção é indeterminada;Eventos (fatos) cuja intenção é indeterminada;
Y35;Y36;Intervenções legais e operações de guerra;Intervenções legais e operações de guerra;
Y40;Y84;Complicações de assistência médica e cirúrgica;Complicações de assistência médica e cirúrgica;
Y40;Y59;Efeitos adversos de drogas, medicamentos e substâncias biológicas usadas com finalidade terapêutica;Ef advers drog, medic e subst biológ finalid terap;
Y60;Y69;Acidentes ocorridos em pacientes durante a prestação de cuidados médicos e cirúrgicos;Acid ocorr pacientes prest cuid médicos e cirúrg;
Y70;Y82;Incidentes adversos durante atos diagnósticos ou terapêuticos associados ao uso de dispositivos (aparelhos) médicos;Incid advers atos diagn terap assoc disposit médic;
Y83;Y84;Reação anormal em paciente ou complicação tardia causadas por procedimentos cirúrgicos e outros procedimentos médicos sem menção de acidente ao tempo do procedimento;Reaç anorm compl tard proc cirúrg méd s/menç acid;
Y85;Y89;Seqüelas de causas externas de morbidade e de mortalidade;Seqüelas causas externas de morbidade e mortalidad;
Y90;Y98;Fatores suplementares relacionados com as causas de morbidade e de mortalidade classificados em outra parte;Fatores supl relac causas de morbid e mortalid COP;
Z00;Z13;Pessoas em contato com os serviços de saúde para exame e investigação;Pessoas contato serv saúde p/exame e investigação;
Z20;Z29;Pessoas com riscos potenciais à saúde relacionados com doenças transmissíveis;Pessoas c/riscos potenc saúde relac doenças transm;
Z30;Z39;Pessoas em contato com os serviços de saúde em circunstâncias relacionadas com a reprodução;Pessoas contato serv saúde circunst relac reprod;
Z40;Z54;Pessoas em contato com os serviços de saúde para procedimentos e cuidados específicos;Pessoas contato serv saúde proced e cuidados espec;
Z55;Z65;Pessoas com riscos potenciais à saúde relacionados com circunstâncias socioeconômicas e psicossociais;Pessoas c/risc potenc saúde relac circ socio psico;
Z70;Z76;Pessoas em contato com os serviços de saúde em outras circunstâncias;Pessoas em contato com serv saúde outras circunst;
Z80;Z99;Pessoas com riscos potenciais à saúde relacionados com história familiar e pessoal e algumas afecções que influenciam o estado de saúde;Pess risc pot saúde hist fam pes afecç q infl saúd;
U04;U04;Designação provisória de novas doenças de etiologia incerta;Designação prov novas doenças de etiologia incerta;
U80;U89;Agentes bacterianos resistentes a antibióticos;Agentes bacterianos resistentes a antibióticos;
U99;U99;CID 10ª Revisão não disponível;CID 10ª Revisão não disponível;
